Number of lanes, Number of vehicles on the sidelines, Chance of congestion,Chance of weather disruptions,trains?,pointer Harr
1,0,50,70,1,00000000000003e8
1,0,50,80,0,00000000000003f0
1,0,50,80,1,00000000000003f8
1,0,50,90,0,0000000000000400
1,0,50,90,1,0000000000000408
1,0,50,100,0,0000000000000410
1,0,50,100,1,0000000000000418
1,0,60,0,0,0000000000000420
1,0,60,0,1,0000000000000428
1,0,60,10,0,0000000000000430
1,0,60,10,1,0000000000000438
1,0,60,20,0,0000000000000440
1,0,60,20,1,0000000000000448
1,0,60,30,0,0000000000000450
1,0,60,30,1,0000000000000458
1,0,60,40,0,0000000000000460
1,0,60,40,1,0000000000000468
1,0,60,50,0,0000000000000470
1,0,60,50,1,0000000000000478
1,0,60,60,0,0000000000000480
1,0,60,60,1,0000000000000488
1,0,60,70,0,0000000000000490
1,0,60,70,1,0000000000000498
1,0,60,80,0,00000000000004a0
1,0,60,80,1,00000000000004a8
1,0,60,90,0,00000000000004b0
1,0,60,90,1,00000000000004b8
1,0,60,100,0,00000000000004c0
1,0,60,100,1,00000000000004c8
1,0,70,0,0,00000000000004d0
1,0,70,0,1,00000000000004d8
1,0,70,10,0,00000000000004e0
1,0,70,10,1,00000000000004e8
1,0,70,20,0,00000000000004f0
1,0,70,20,1,00000000000004f8
1,0,70,30,0,0000000000000500
1,0,70,30,1,0000000000000508
1,0,70,40,0,0000000000000510
1,0,70,40,1,0000000000000518
1,0,70,50,0,0000000000000520
1,0,70,50,1,0000000000000528
1,0,70,60,0,0000000000000530
1,0,70,60,1,0000000000000538
1,0,70,70,0,0000000000000540
1,0,70,70,1,0000000000000548
1,0,70,80,0,0000000000000550
1,0,70,80,1,0000000000000558
1,0,70,90,0,0000000000000560
1,0,70,90,1,0000000000000568
1,0,70,100,0,0000000000000570
1,0,70,100,1,0000000000000578
1,0,80,0,0,0000000000000580
1,0,80,0,1,0000000000000588
1,0,80,10,0,0000000000000590
1,0,80,10,1,0000000000000598
1,0,80,20,0,00000000000005a0
1,0,80,20,1,00000000000005a8
1,0,80,30,0,00000000000005b0
1,0,80,30,1,00000000000005b8
1,0,80,40,0,00000000000005c0
1,0,80,40,1,00000000000005c8
1,0,80,50,0,00000000000005d0
1,0,80,50,1,00000000000005d8
1,0,80,60,0,00000000000005e0
1,0,80,60,1,00000000000005e8
1,0,80,70,0,00000000000005f0
1,0,80,70,1,00000000000005f8
1,0,80,80,0,0000000000000600
1,0,80,80,1,0000000000000608
1,0,80,90,0,0000000000000610
1,0,80,90,1,0000000000000618
1,0,80,100,0,0000000000000620
1,0,80,100,1,0000000000000628
1,0,90,0,0,0000000000000630
1,0,90,0,1,0000000000000638
1,0,90,10,0,0000000000000640
1,0,90,10,1,0000000000000648
1,0,90,20,0,0000000000000650
1,0,90,20,1,0000000000000658
1,0,90,30,0,0000000000000660
1,0,90,30,1,0000000000000668
1,0,90,40,0,0000000000000670
1,0,90,40,1,0000000000000678
1,0,90,50,0,0000000000000680
1,0,90,50,1,0000000000000688
1,0,90,60,0,0000000000000690
1,0,90,60,1,0000000000000698
1,0,90,70,0,00000000000006a0
1,0,90,70,1,00000000000006a8
1,0,90,80,0,00000000000006b0
1,0,90,80,1,00000000000006b8
1,0,90,90,0,00000000000006c0
1,0,90,90,1,00000000000006c8
1,0,90,100,0,00000000000006d0
1,0,90,100,1,00000000000006d8
1,0,100,0,0,00000000000006e0
1,0,100,0,1,00000000000006e8
1,0,100,10,0,00000000000006f0
1,0,100,10,1,00000000000006f8
1,0,100,20,0,0000000000000700
1,0,100,20,1,0000000000000708
1,0,100,30,0,0000000000000710
1,0,100,30,1,0000000000000718
1,0,100,40,0,0000000000000720
1,0,100,40,1,0000000000000728
1,0,100,50,0,0000000000000730
1,0,100,50,1,0000000000000738
1,0,100,60,0,0000000000000740
1,0,100,60,1,0000000000000748
1,0,100,70,0,0000000000000750
1,0,100,70,1,0000000000000758
1,0,100,80,0,0000000000000760
1,0,100,80,1,0000000000000768
1,0,100,90,0,0000000000000770
1,0,100,90,1,0000000000000778
1,0,100,100,0,0000000000000780
1,0,100,100,1,0000000000000788
1,1,0,0,0,0000000000000790
1,1,0,0,1,0000000000000798
1,1,0,10,0,00000000000007a0
1,1,0,10,1,00000000000007a8
1,1,0,20,0,00000000000007b0
1,1,0,20,1,00000000000007b8
1,1,0,30,0,00000000000007c0
1,1,0,30,1,00000000000007c8
1,1,0,40,0,00000000000007d0
1,1,0,40,1,00000000000007d8
1,1,0,50,0,00000000000007e0
1,1,0,50,1,00000000000007e8
1,1,0,60,0,00000000000007f0
1,1,0,60,1,00000000000007f8
1,1,0,70,0,0000000000000800
1,1,0,70,1,0000000000000808
1,1,0,80,0,0000000000000810
1,1,0,80,1,0000000000000818
1,1,0,90,0,0000000000000820
1,1,0,90,1,0000000000000828
1,1,0,100,0,0000000000000830
1,1,0,100,1,0000000000000838
1,1,10,0,0,0000000000000840
1,1,10,0,1,0000000000000848
1,1,10,10,0,0000000000000850
1,1,10,10,1,0000000000000858
1,1,10,20,0,0000000000000860
1,1,10,20,1,0000000000000868
1,1,10,30,0,0000000000000870
1,1,10,30,1,0000000000000878
1,1,10,40,0,0000000000000880
1,1,10,40,1,0000000000000888
1,1,10,50,0,0000000000000890
1,1,10,50,1,0000000000000898
1,1,10,60,0,00000000000008a0
1,1,10,60,1,00000000000008a8
1,1,10,70,0,00000000000008b0
1,1,10,70,1,00000000000008b8
1,1,10,80,0,00000000000008c0
1,1,10,80,1,00000000000008c8
1,1,10,90,0,00000000000008d0
1,1,10,90,1,00000000000008d8
1,1,10,100,0,00000000000008e0
1,1,10,100,1,00000000000008e8
1,1,20,0,0,00000000000008f0
1,1,20,0,1,00000000000008f8
1,1,20,10,0,0000000000000900
1,1,20,10,1,0000000000000908
1,1,20,20,0,0000000000000910
1,1,20,20,1,0000000000000918
1,1,20,30,0,0000000000000920
1,1,20,30,1,0000000000000928
1,1,20,40,0,0000000000000930
1,1,20,40,1,0000000000000938
1,1,20,50,0,0000000000000940
1,1,20,50,1,0000000000000948
1,1,20,60,0,0000000000000950
1,1,20,60,1,0000000000000958
1,1,20,70,0,0000000000000960
1,1,20,70,1,0000000000000968
1,1,20,80,0,0000000000000970
1,1,20,80,1,0000000000000978
1,1,20,90,0,0000000000000980
1,1,20,90,1,0000000000000988
1,1,20,100,0,0000000000000990
1,1,20,100,1,0000000000000998
1,1,30,0,0,00000000000009a0
1,1,30,0,1,00000000000009a8
1,1,30,10,0,00000000000009b0
1,1,30,10,1,00000000000009b8
1,1,30,20,0,00000000000009c0
1,1,30,20,1,00000000000009c8
1,1,30,30,0,00000000000009d0
1,1,30,30,1,00000000000009d8
1,1,30,40,0,00000000000009e0
1,1,30,40,1,00000000000009e8
1,1,30,50,0,00000000000009f0
1,1,30,50,1,00000000000009f8
1,1,30,60,0,0000000000000a00
1,1,30,60,1,0000000000000a08
1,1,30,70,0,0000000000000a10
1,1,30,70,1,0000000000000a18
1,1,30,80,0,0000000000000a20
1,1,30,80,1,0000000000000a28
1,1,30,90,0,0000000000000a30
1,1,30,90,1,0000000000000a38
1,1,30,100,0,0000000000000a40
1,1,30,100,1,0000000000000a48
1,1,40,0,0,0000000000000a50
1,1,40,0,1,0000000000000a58
1,1,40,10,0,0000000000000a60
1,1,40,10,1,0000000000000a68
1,1,40,20,0,0000000000000a70
1,1,40,20,1,0000000000000a78
1,1,40,30,0,0000000000000a80
1,1,40,30,1,0000000000000a88
1,1,40,40,0,0000000000000a90
1,1,40,40,1,0000000000000a98
1,1,40,50,0,0000000000000aa0
1,1,40,50,1,0000000000000aa8
1,1,40,60,0,0000000000000ab0
1,1,40,60,1,0000000000000ab8
1,1,40,70,0,0000000000000ac0
1,1,40,70,1,0000000000000ac8
1,1,40,80,0,0000000000000ad0
1,1,40,80,1,0000000000000ad8
1,1,40,90,0,0000000000000ae0
1,1,40,90,1,0000000000000ae8
1,1,40,100,0,0000000000000af0
1,1,40,100,1,0000000000000af8
1,1,50,0,0,0000000000000b00
1,1,50,0,1,0000000000000b08
1,1,50,10,0,0000000000000b10
1,1,50,10,1,0000000000000b18
1,1,50,20,0,0000000000000b20
1,1,50,20,1,0000000000000b28
1,1,50,30,0,0000000000000b30
1,1,50,30,1,0000000000000b38
1,1,50,40,0,0000000000000b40
1,1,50,40,1,0000000000000b48
1,1,50,50,0,0000000000000b50
1,1,50,50,1,0000000000000b58
1,1,50,60,0,0000000000000b60
1,1,50,60,1,0000000000000b68
1,1,50,70,0,0000000000000b70
1,1,50,70,1,0000000000000b78
1,1,50,80,0,0000000000000b80
1,1,50,80,1,0000000000000b88
1,1,50,90,0,0000000000000b90
1,1,50,90,1,0000000000000b98
1,1,50,100,0,0000000000000ba0
1,1,50,100,1,0000000000000ba8
1,1,60,0,0,0000000000000bb0
1,1,60,0,1,0000000000000bb8
1,1,60,10,0,0000000000000bc0
1,1,60,10,1,0000000000000bc8
1,1,60,20,0,0000000000000bd0
1,1,60,20,1,0000000000000bd8
1,1,60,30,0,0000000000000be0
1,1,60,30,1,0000000000000be8
1,1,60,40,0,0000000000000bf0
1,1,60,40,1,0000000000000bf8
1,1,60,50,0,0000000000000c00
1,1,60,50,1,0000000000000c08
1,1,60,60,0,0000000000000c10
1,1,60,60,1,0000000000000c18
1,1,60,70,0,0000000000000c20
1,1,60,70,1,0000000000000c28
1,1,60,80,0,0000000000000c30
1,1,60,80,1,0000000000000c38
1,1,60,90,0,0000000000000c40
1,1,60,90,1,0000000000000c48
1,1,60,100,0,0000000000000c50
1,1,60,100,1,0000000000000c58
1,1,70,0,0,0000000000000c60
1,1,70,0,1,0000000000000c68
1,1,70,10,0,0000000000000c70
1,1,70,10,1,0000000000000c78
1,1,70,20,0,0000000000000c80
1,1,70,20,1,0000000000000c88
1,1,70,30,0,0000000000000c90
1,1,70,30,1,0000000000000c98
1,1,70,40,0,0000000000000ca0
1,1,70,40,1,0000000000000ca8
1,1,70,50,0,0000000000000cb0
1,1,70,50,1,0000000000000cb8
1,1,70,60,0,0000000000000cc0
1,1,70,60,1,0000000000000cc8
1,1,70,70,0,0000000000000cd0
1,1,70,70,1,0000000000000cd8
1,1,70,80,0,0000000000000ce0
1,1,70,80,1,0000000000000ce8
1,1,70,90,0,0000000000000cf0
1,1,70,90,1,0000000000000cf8
1,1,70,100,0,0000000000000d00
1,1,70,100,1,0000000000000d08
1,1,80,0,0,0000000000000d10
1,1,80,0,1,0000000000000d18
1,1,80,10,0,0000000000000d20
1,1,80,10,1,0000000000000d28
1,1,80,20,0,0000000000000d30
1,1,80,20,1,0000000000000d38
1,1,80,30,0,0000000000000d40
1,1,80,30,1,0000000000000d48
1,1,80,40,0,0000000000000d50
1,1,80,40,1,0000000000000d58
1,1,80,50,0,0000000000000d60
1,1,80,50,1,0000000000000d68
1,1,80,60,0,0000000000000d70
1,1,80,60,1,0000000000000d78
1,1,80,70,0,0000000000000d80
1,1,80,70,1,0000000000000d88
1,1,80,80,0,0000000000000d90
1,1,80,80,1,0000000000000d98
1,1,80,90,0,0000000000000da0
1,1,80,90,1,0000000000000da8
1,1,80,100,0,0000000000000db0
1,1,80,100,1,0000000000000db8
1,1,90,0,0,0000000000000dc0
1,1,90,0,1,0000000000000dc8
1,1,90,10,0,0000000000000dd0
1,1,90,10,1,0000000000000dd8
1,1,90,20,0,0000000000000de0
1,1,90,20,1,0000000000000de8
1,1,90,30,0,0000000000000df0
1,1,90,30,1,0000000000000df8
1,1,90,40,0,0000000000000e00
1,1,90,40,1,0000000000000e08
1,1,90,50,0,0000000000000e10
1,1,90,50,1,0000000000000e18
1,1,90,60,0,0000000000000e20
1,1,90,60,1,0000000000000e28
1,1,90,70,0,0000000000000e30
1,1,90,70,1,0000000000000e38
1,1,90,80,0,0000000000000e40
1,1,90,80,1,0000000000000e48
1,1,90,90,0,0000000000000e50
1,1,90,90,1,0000000000000e58
1,1,90,100,0,0000000000000e60
1,1,90,100,1,0000000000000e68
1,1,100,0,0,0000000000000e70
1,1,100,0,1,0000000000000e78
1,1,100,10,0,0000000000000e80
1,1,100,10,1,0000000000000e88
1,1,100,20,0,0000000000000e90
1,1,100,20,1,0000000000000e98
1,1,100,30,0,0000000000000ea0
1,1,100,30,1,0000000000000ea8
1,1,100,40,0,0000000000000eb0
1,1,100,40,1,0000000000000eb8
1,1,100,50,0,0000000000000ec0
1,1,100,50,1,0000000000000ec8
1,1,100,60,0,0000000000000ed0
1,1,100,60,1,0000000000000ed8
1,1,100,70,0,0000000000000ee0
1,1,100,70,1,0000000000000ee8
1,1,100,80,0,0000000000000ef0
1,1,100,80,1,0000000000000ef8
1,1,100,90,0,0000000000000f00
1,1,100,90,1,0000000000000f08
1,1,100,100,0,0000000000000f10
1,1,100,100,1,0000000000000f18
1,2,0,0,0,0000000000000f20
1,2,0,0,1,0000000000000f28
1,2,0,10,0,0000000000000f30
1,2,0,10,1,0000000000000f38
1,2,0,20,0,0000000000000f40
1,2,0,20,1,0000000000000f48
1,2,0,30,0,0000000000000f50
1,2,0,30,1,0000000000000f58
1,2,0,40,0,0000000000000f60
1,2,0,40,1,0000000000000f68
1,2,0,50,0,0000000000000f70
1,2,0,50,1,0000000000000f78
1,2,0,60,0,0000000000000f80
1,2,0,60,1,0000000000000f88
1,2,0,70,0,0000000000000f90
1,2,0,70,1,0000000000000f98
1,2,0,80,0,0000000000000fa0
1,2,0,80,1,0000000000000fa8
1,2,0,90,0,0000000000000fb0
1,2,0,90,1,0000000000000fb8
1,2,0,100,0,0000000000000fc0
1,2,0,100,1,0000000000000fc8
1,2,10,0,0,0000000000000fd0
1,2,10,0,1,0000000000000fd8
1,2,10,10,0,0000000000000fe0
1,2,10,10,1,0000000000000fe8
1,2,10,20,0,0000000000000ff0
1,2,10,20,1,0000000000000ff8
1,2,10,30,0,0000000000001000
1,2,10,30,1,0000000000001008
1,2,10,40,0,0000000000001010
1,2,10,40,1,0000000000001018
1,2,10,50,0,0000000000001020
1,2,10,50,1,0000000000001028
1,2,10,60,0,0000000000001030
1,2,10,60,1,0000000000001038
1,2,10,70,0,0000000000001040
1,2,10,70,1,0000000000001048
1,2,10,80,0,0000000000001050
1,2,10,80,1,0000000000001058
1,2,10,90,0,0000000000001060
1,2,10,90,1,0000000000001068
1,2,10,100,0,0000000000001070
1,2,10,100,1,0000000000001078
1,2,20,0,0,0000000000001080
1,2,20,0,1,0000000000001088
1,2,20,10,0,0000000000001090
1,2,20,10,1,0000000000001098
1,2,20,20,0,00000000000010a0
1,2,20,20,1,00000000000010a8
1,2,20,30,0,00000000000010b0
1,2,20,30,1,00000000000010b8
1,2,20,40,0,00000000000010c0
1,2,20,40,1,00000000000010c8
1,2,20,50,0,00000000000010d0
1,2,20,50,1,00000000000010d8
1,2,20,60,0,00000000000010e0
1,2,20,60,1,00000000000010e8
1,2,20,70,0,00000000000010f0
1,2,20,70,1,00000000000010f8
1,2,20,80,0,0000000000001100
1,2,20,80,1,0000000000001108
1,2,20,90,0,0000000000001110
1,2,20,90,1,0000000000001118
1,2,20,100,0,0000000000001120
1,2,20,100,1,0000000000001128
1,2,30,0,0,0000000000001130
1,2,30,0,1,0000000000001138
1,2,30,10,0,0000000000001140
1,2,30,10,1,0000000000001148
1,2,30,20,0,0000000000001150
1,2,30,20,1,0000000000001158
1,2,30,30,0,0000000000001160
1,2,30,30,1,0000000000001168
1,2,30,40,0,0000000000001170
1,2,30,40,1,0000000000001178
1,2,30,50,0,0000000000001180
1,2,30,50,1,0000000000001188
1,2,30,60,0,0000000000001190
1,2,30,60,1,0000000000001198
1,2,30,70,0,00000000000011a0
1,2,30,70,1,00000000000011a8
1,2,30,80,0,00000000000011b0
1,2,30,80,1,00000000000011b8
1,2,30,90,0,00000000000011c0
1,2,30,90,1,00000000000011c8
1,2,30,100,0,00000000000011d0
1,2,30,100,1,00000000000011d8
1,2,40,0,0,00000000000011e0
1,2,40,0,1,00000000000011e8
1,2,40,10,0,00000000000011f0
1,2,40,10,1,00000000000011f8
1,2,40,20,0,0000000000001200
1,2,40,20,1,0000000000001208
1,2,40,30,0,0000000000001210
1,2,40,30,1,0000000000001218
1,2,40,40,0,0000000000001220
1,2,40,40,1,0000000000001228
1,2,40,50,0,0000000000001230
1,2,40,50,1,0000000000001238
1,2,40,60,0,0000000000001240
1,2,40,60,1,0000000000001248
1,2,40,70,0,0000000000001250
1,2,40,70,1,0000000000001258
1,2,40,80,0,0000000000001260
1,2,40,80,1,0000000000001268
1,2,40,90,0,0000000000001270
1,2,40,90,1,0000000000001278
1,2,40,100,0,0000000000001280
1,2,40,100,1,0000000000001288
1,2,50,0,0,0000000000001290
1,2,50,0,1,0000000000001298
1,2,50,10,0,00000000000012a0
1,2,50,10,1,00000000000012a8
1,2,50,20,0,00000000000012b0
1,2,50,20,1,00000000000012b8
1,2,50,30,0,00000000000012c0
1,2,50,30,1,00000000000012c8
1,2,50,40,0,00000000000012d0
1,2,50,40,1,00000000000012d8
1,2,50,50,0,00000000000012e0
1,2,50,50,1,00000000000012e8
1,2,50,60,0,00000000000012f0
1,2,50,60,1,00000000000012f8
1,2,50,70,0,0000000000001300
1,2,50,70,1,0000000000001308
1,2,50,80,0,0000000000001310
1,2,50,80,1,0000000000001318
1,2,50,90,0,0000000000001320
1,2,50,90,1,0000000000001328
1,2,50,100,0,0000000000001330
1,2,50,100,1,0000000000001338
1,2,60,0,0,0000000000001340
1,2,60,0,1,0000000000001348
1,2,60,10,0,0000000000001350
1,2,60,10,1,0000000000001358
1,2,60,20,0,0000000000001360
1,2,60,20,1,0000000000001368
1,2,60,30,0,0000000000001370
1,2,60,30,1,0000000000001378
1,2,60,40,0,0000000000001380
1,2,60,40,1,0000000000001388
1,2,60,50,0,0000000000001390
1,2,60,50,1,0000000000001398
1,2,60,60,0,00000000000013a0
1,2,60,60,1,00000000000013a8
1,2,60,70,0,00000000000013b0
1,2,60,70,1,00000000000013b8
1,2,60,80,0,00000000000013c0
1,2,60,80,1,00000000000013c8
1,2,60,90,0,00000000000013d0
1,2,60,90,1,00000000000013d8
1,2,60,100,0,00000000000013e0
1,2,60,100,1,00000000000013e8
1,2,70,0,0,00000000000013f0
1,2,70,0,1,00000000000013f8
1,2,70,10,0,0000000000001400
1,2,70,10,1,0000000000001408
1,2,70,20,0,0000000000001410
1,2,70,20,1,0000000000001418
1,2,70,30,0,0000000000001420
1,2,70,30,1,0000000000001428
1,2,70,40,0,0000000000001430
1,2,70,40,1,0000000000001438
1,2,70,50,0,0000000000001440
1,2,70,50,1,0000000000001448
1,2,70,60,0,0000000000001450
1,2,70,60,1,0000000000001458
1,2,70,70,0,0000000000001460
1,2,70,70,1,0000000000001468
1,2,70,80,0,0000000000001470
1,2,70,80,1,0000000000001478
1,2,70,90,0,0000000000001480
1,2,70,90,1,0000000000001488
1,2,70,100,0,0000000000001490
1,2,70,100,1,0000000000001498
1,2,80,0,0,00000000000014a0
1,2,80,0,1,00000000000014a8
1,2,80,10,0,00000000000014b0
1,2,80,10,1,00000000000014b8
1,2,80,20,0,00000000000014c0
1,2,80,20,1,00000000000014c8
1,2,80,30,0,00000000000014d0
1,2,80,30,1,00000000000014d8
1,2,80,40,0,00000000000014e0
1,2,80,40,1,00000000000014e8
1,2,80,50,0,00000000000014f0
1,2,80,50,1,00000000000014f8
1,2,80,60,0,0000000000001500
1,2,80,60,1,0000000000001508
1,2,80,70,0,0000000000001510
1,2,80,70,1,0000000000001518
1,2,80,80,0,0000000000001520
1,2,80,80,1,0000000000001528
1,2,80,90,0,0000000000001530
1,2,80,90,1,0000000000001538
1,2,80,100,0,0000000000001540
1,2,80,100,1,0000000000001548
1,2,90,0,0,0000000000001550
1,2,90,0,1,0000000000001558
1,2,90,10,0,0000000000001560
1,2,90,10,1,0000000000001568
1,2,90,20,0,0000000000001570
1,2,90,20,1,0000000000001578
1,2,90,30,0,0000000000001580
1,2,90,30,1,0000000000001588
1,2,90,40,0,0000000000001590
1,2,90,40,1,0000000000001598
1,2,90,50,0,00000000000015a0
1,2,90,50,1,00000000000015a8
1,2,90,60,0,00000000000015b0
1,2,90,60,1,00000000000015b8
1,2,90,70,0,00000000000015c0
1,2,90,70,1,00000000000015c8
1,2,90,80,0,00000000000015d0
1,2,90,80,1,00000000000015d8
1,2,90,90,0,00000000000015e0
1,2,90,90,1,00000000000015e8
1,2,90,100,0,00000000000015f0
1,2,90,100,1,00000000000015f8
1,2,100,0,0,0000000000001600
1,2,100,0,1,0000000000001608
1,2,100,10,0,0000000000001610
1,2,100,10,1,0000000000001618
1,2,100,20,0,0000000000001620
1,2,100,20,1,0000000000001628
1,2,100,30,0,0000000000001630
1,2,100,30,1,0000000000001638
1,2,100,40,0,0000000000001640
1,2,100,40,1,0000000000001648
1,2,100,50,0,0000000000001650
1,2,100,50,1,0000000000001658
1,2,100,60,0,0000000000001660
1,2,100,60,1,0000000000001668
1,2,100,70,0,0000000000001670
1,2,100,70,1,0000000000001678
1,2,100,80,0,0000000000001680
1,2,100,80,1,0000000000001688
1,2,100,90,0,0000000000001690
1,2,100,90,1,0000000000001698
1,2,100,100,0,00000000000016a0
1,2,100,100,1,00000000000016a8
1,3,0,0,0,00000000000016b0
1,3,0,0,1,00000000000016b8
1,3,0,10,0,00000000000016c0
1,3,0,10,1,00000000000016c8
1,3,0,20,0,00000000000016d0
1,3,0,20,1,00000000000016d8
1,3,0,30,0,00000000000016e0
1,3,0,30,1,00000000000016e8
1,3,0,40,0,00000000000016f0
1,3,0,40,1,00000000000016f8
1,3,0,50,0,0000000000001700
1,3,0,50,1,0000000000001708
1,3,0,60,0,0000000000001710
1,3,0,60,1,0000000000001718
1,3,0,70,0,0000000000001720
1,3,0,70,1,0000000000001728
1,3,0,80,0,0000000000001730
1,3,0,80,1,0000000000001738
1,3,0,90,0,0000000000001740
1,3,0,90,1,0000000000001748
1,3,0,100,0,0000000000001750
1,3,0,100,1,0000000000001758
1,3,10,0,0,0000000000001760
1,3,10,0,1,0000000000001768
1,3,10,10,0,0000000000001770
1,3,10,10,1,0000000000001778
1,3,10,20,0,0000000000001780
1,3,10,20,1,0000000000001788
1,3,10,30,0,0000000000001790
1,3,10,30,1,0000000000001798
1,3,10,40,0,00000000000017a0
1,3,10,40,1,00000000000017a8
1,3,10,50,0,00000000000017b0
1,3,10,50,1,00000000000017b8
1,3,10,60,0,00000000000017c0
1,3,10,60,1,00000000000017c8
1,3,10,70,0,00000000000017d0
1,3,10,70,1,00000000000017d8
1,3,10,80,0,00000000000017e0
1,3,10,80,1,00000000000017e8
1,3,10,90,0,00000000000017f0
1,3,10,90,1,00000000000017f8
1,3,10,100,0,0000000000001800
1,3,10,100,1,0000000000001808
1,3,20,0,0,0000000000001810
1,3,20,0,1,0000000000001818
1,3,20,10,0,0000000000001820
1,3,20,10,1,0000000000001828
1,3,20,20,0,0000000000001830
1,3,20,20,1,0000000000001838
1,3,20,30,0,0000000000001840
1,3,20,30,1,0000000000001848
1,3,20,40,0,0000000000001850
1,3,20,40,1,0000000000001858
1,3,20,50,0,0000000000001860
1,3,20,50,1,0000000000001868
1,3,20,60,0,0000000000001870
1,3,20,60,1,0000000000001878
1,3,20,70,0,0000000000001880
1,3,20,70,1,0000000000001888
1,3,20,80,0,0000000000001890
1,3,20,80,1,0000000000001898
1,3,20,90,0,00000000000018a0
